Timestamp,"I am currently living in HKU dorm.
(halls/residential colleges)",I am an ,Year of study,My faculty is,I am currently paying (or willing to pay) monthly housing fee of ,I am currently receiving,Price/Affordability,Commute time to campus,Privacy,Study environment and quiet hours,Social life and community building,"Facilities and amenities (gym, laundry, common areas, etc.)","Rules and flexibility (e.g., guest policies, curfews, room decoration)","Sustainability features (e.g., energy-efficient appliances/lighting, recycling and waste-sorting facilities, water-saving fixtures)",Willingness to pay a premium for environmentally certified/green housing
2025/11/20 3:15:07 PM GMT+8,Yes,International student,2,Business and Economics,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),4,4,3,3,4,4,3,3,2
2025/11/20 3:16:02 PM GMT+8,Yes,International student,2,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),4,4,3,5,4,4,2,2,2
2025/11/20 4:55:27 PM GMT+8,Yes,International student,2,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,4,4,4,3,5,3,1,5
2025/11/20 5:02:51 PM GMT+8,Yes,International student,2,Business and Economics,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),1,4,3,4,5,4,2,3,1
2025/11/20 5:16:12 PM GMT+8,No,International student,2,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,4,5,5,2,3,2,2,4
2025/11/20 5:17:22 PM GMT+8,Yes,International student,3,Science,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),3,3,1,1,3,3,3,3,2
2025/11/20 5:18:45 PM GMT+8,Yes,International student,2,Business and Economics,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),5,5,4,5,1,5,2,2,4
2025/11/20 5:44:47 PM GMT+8,No,Local student,2,Medicine,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),4,5,4,3,2,3,3,3,5
2025/11/20 5:51:00 PM GMT+8,Yes,International student,2,Science,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),4,4,4,4,5,2,2,2,5
2025/11/20 5:59:14 PM GMT+8,No,International student,2,Business and Economics,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),4,5,5,5,2,5,3,3,2
2025/11/20 5:59:20 PM GMT+8,No,International student,2,Business and Economics,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),4,4,5,5,2,3,1,2,1
2025/11/20 6:04:13 PM GMT+8,No,International student,2,Business and Economics,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),5,4,5,5,3,4,4,5,3
2025/11/20 6:04:49 PM GMT+8,No,International student,2,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,4,5,4,3,4,4,1,3
2025/11/20 6:13:52 PM GMT+8,No,International student,2,Business and Economics,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),5,5,5,5,5,5,4,5,3
2025/11/20 6:18:52 PM GMT+8,Yes,International student,1,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),1,2,2,2,3,3,3,4,4
2025/11/20 6:19:18 PM GMT+8,No,Local student,2,Business and Economics,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),5,4,3,4,2,3,4,1,3
2025/11/20 6:20:22 PM GMT+8,Yes,International student,1,Social Sciences,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,5,5,5,4,4,4,5,2
2025/11/20 6:23:36 PM GMT+8,Yes,International student,1,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),4,3,3,4,2,3,4,3,4
2025/11/20 6:28:53 PM GMT+8,Yes,International student,1,Science,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),3,2,4,4,2,3,3,5,5
2025/11/20 6:32:32 PM GMT+8,Yes,International student,1,Science,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),4,4,3,5,2,2,5,4,5
